,Unnamed: 0,ra,dec,u_extendedness,u_mag,g_extendedness,g_mag,r_extendedness,r_mag,i_extendedness,i_mag,z_extendedness,z_mag
160,160,229.22857542436734,5.239519549416513,,,1.0,,1.0,25.51864144281968,1.0,23.20727756645338,1.0,31.50003789703093
161,161,229.25196742165352,5.240169905287758,,,1.0,24.37569728456017,,,1.0,22.602597411783822,1.0,22.621154787613065
162,162,229.25600917556892,5.240891044307787,,,1.0,24.25450331512465,,,1.0,22.67112744731734,1.0,22.92549863918388
163,163,229.23937479376673,5.2427267705807745,,,1.0,22.991364886964437,,,1.0,22.32667927442812,1.0,22.46592960834512
164,164,229.259025958077,5.242881537613993,,,1.0,24.203042221414336,,,1.0,22.11023009061239,1.0,21.831189703392617
165,165,229.24043200062764,5.244451462202306,,,1.0,23.58285741228448,,,1.0,21.77005682180109,1.0,21.160498061337258
166,166,229.26658581772375,5.256095635208762,,,1.0,14.456911488721182,,,1.0,13.444479412835172,1.0,13.113078575557712
167,167,229.25112327165482,5.249364148001592,,,1.0,23.147171499753707,,,1.0,22.57763138292669,1.0,22.225183053715966
168,168,229.2227184837066,5.2486098082079655,,,1.0,25.053579602589448,1.0,26.06694755729592,1.0,22.8858704181593,1.0,23.225577678917357
169,169,229.2017229780773,5.249608673519035,,,1.0,24.91566996027982,1.0,23.371836944871838,1.0,22.88940541845108,1.0,22.172011769081543
170,170,229.28700765948912,5.257614961418891,,,,,,,,,,
171,171,229.24478093305135,5.2578684707392584,,,1.0,23.25080712787222,,,1.0,22.324274862496654,1.0,22.18466916819159
172,172,229.2512930436287,5.26035630554382,,,,23.4407707060364,,,,22.452297165216574,,21.85266341890953
173,173,229.25115607069054,5.2645193559854535,,,1.0,23.03415414367699,,,1.0,22.53406007749868,1.0,22.70196910955643
174,174,229.2569583491932,5.267828749975796,,,,,,,,,,
175,175,229.27294092021432,5.268263105126867,,,,20.093148531750582,,,,19.438479823383908,,19.19823040080188
176,176,229.2776330015421,5.2684028089565444,,,1.0,21.18307986043667,,,1.0,20.668362546856347,1.0,20.53523514214829
177,177,229.25146438849495,5.270293370938813,,,1.0,23.53797100365493,,,1.0,22.520779182250195,1.0,23.08212270001266
178,178,229.2724113459794,5.270011837743847,,,1.0,23.83212926669661,,,1.0,22.422099464413492,1.0,
179,179,229.24317353544353,5.271841633939855,,,1.0,22.86134827346025,,,1.0,21.262467380705523,1.0,20.899667819976948
180,180,229.26782175004516,5.272949325995001,,,,22.740444837215374,,,,20.54492390858399,,20.87059061215056
181,181,229.28701568600684,5.27469433508889,,,,,,,,,,
182,182,229.26122200614267,5.275599335158909,,,1.0,22.48364683894878,,,1.0,21.48455994757768,1.0,21.633797202003585
183,183,229.2476538218476,5.277945480144991,,,1.0,21.968503789333656,,,1.0,21.22884645044529,1.0,21.05413791593172
184,184,229.2802086571665,5.276856559563022,,,1.0,22.186962953898988,,,1.0,20.09736761404129,1.0,19.686171401479008
